Plot Code,Date,state,countyName,Real Latitude,Real Longitude,Hydrologic Regime,Soil Drainage,Water Salinity,Canopy Height (m),Author Location,Area,Elevation(m),Aspect,Slope,Topographic Position,Sampling Level,project,commPrimaryCode,commPrimaryScientific,commPrimaryCommon,commPrimaryDateClassified,commPrimaryFit,soilMapUnit,soilGreatGroup
028-01-0056,24-Sep-1994,South Carolina,Charleston,33.14489029,-79.40894892,,,,,,1000,6.0,,,,5,Bays and wet depressions Tim Nifong,CEGL003733,Taxodium ascendens / Panicum hemitomon - Polygala cymosa Woodland,Atlantic Coastal Plain Pond-cypress Savanna,11-Jan-2015,,,
016-01-0001,31-May-1995,South Carolina,Berkeley,33.26616736,-79.73288062,,poorly drained,,15.2,Francis Marion National Forest,1000,11.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004085,"Pinus palustris - Pinus (serotina, taeda) / Sporobolus curtissii - Muhlenbergia expansa Woodland",Atlantic Coastal Plain / Wet Ultisol Longleaf Pine Savanna,,3,Wahee loam,AERIC ENDOAQUULTS
016-01-0002,31-May-1995,South Carolina,Berkeley,33.02617701,-79.72562269,,somewhat excessively drained,,20.1,Francis Marion National Forest,1000,15.0,-1,0,High slope,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,,,Chipley-Echaw complex,
016-01-0003,01-Jun-1995,South Carolina,Berkeley,33.04581861,-79.70606235,,moderately well drained,,17.4,Francis Marion National Forest,1000,14.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004496,Pinus palustris / Clethra alnifolia - Gaylussacia frondosa - Quercus pumila / Schizachyrium scoparium Woodland,,,,Chipley-Echaw complex,
016-01-0004,01-Jun-1995,South Carolina,Berkeley,33.0458519,-79.70927472,,moderately well drained,,16.2,Francis Marion National Forest,1000,14.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004441,Taxodium ascendens / Woodwardia virginica Woodland,Pond-cypress Savanna,04-Feb-2011,4,Chipley-Echaw complex,
016-01-0005,02-Jun-1995,South Carolina,Berkeley,33.25124947,-79.86942336,,moderately well drained,,23.8,Francis Marion National Forest,1000,19.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004496,Pinus palustris / Clethra alnifolia - Gaylussacia frondosa - Quercus pumila / Schizachyrium scoparium Woodland,,,,Bethera loam,TYPIC PALEAQUULTS
016-01-0006,02-Jun-1995,South Carolina,Berkeley,33.2467305,-79.86840822,,poorly drained,,20.7,Francis Marion National Forest,1000,19.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004496,Pinus palustris / Clethra alnifolia - Gaylussacia frondosa - Quercus pumila / Schizachyrium scoparium Woodland,,,,Wahee loam,AERIC ENDOAQUULTS
016-01-0007,03-Jun-1995,South Carolina,Berkeley,32.95853234,-79.81753593,,moderately well drained,,19.5,Francis Marion National Forest,1000,16.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,,,Chipley-Echaw complex,
016-01-0008,04-Jun-1995,South Carolina,Berkeley,32.96494622,-79.8281501,,somewhat poorly drained,,16.8,Francis Marion National Forest,1000,14.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004475,Woodwardia virginica / Sphagnum cuspidatum Herbaceous Vegetation,Chainfern Small Depression Pond,,2,Chipley-Echaw complex,
016-01-0009,04-Jun-1995,South Carolina,Charleston,33.0418719,-79.59153418,,poorly drained,,16.5,Francis Marion National Forest,1000,5.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004498,Pinus palustris - Pinus serotina / Aristida palustris - Sarracenia flava Woodland,,,,Seewee complex,AERICALAQUODS
016-01-0012,06-Jun-1995,South Carolina,Berkeley,32.9826158,-79.78939013,,poorly drained,,21.3,Francis Marion National Forest,1000,16.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004496,Pinus palustris / Clethra alnifolia - Gaylussacia frondosa - Quercus pumila / Schizachyrium scoparium Woodland,,,,Witherbee fine sand,AERICALAQUODS
016-01-0010,06-Jun-1995,South Carolina,Charleston,33.14967616,-79.40647075,,excessively drained,,21.3,Santee Coastal Wildlife Management Area,900,7.0,-1,0,Low level,5,Longleaf - Coastal SC & GA Kjellmark & McMillan,CEGL004083,Pinus palustris / Quercus margarettiae - Quercus incana / Schizachyrium scoparium Atlantic Woodland,,,,"Lakeland sand, 0 to 6 percent slopes",TYPIC QUARTZIPSAMMENTS
