"point.ID","poly.ID","SUID","ORG","ACTIVITY_C","ACTIVITY","LOCAL_QUAL","ASU_NBR_UN","ASU_UOM","ADMIN_REGI","ADMIN_FORE","ADMIN_DIST","STATE_ABBR","OWNERSHIP_","PROC_REGIO","PROC_FORES","LAND_SUITA","PRODUCTIVI","SLOPE","ELEVATION","ASPECT","MGT_AREA_C","MGT_PRESCR","NBR_UNITS_","NBR_UNITS1","UOM","DATE_PLANN","DATE_ACCOM","DATE_COMPL","FISCAL_YEA","FISCAL_Y_1","FISCAL_Y_2","FY_PLANNED","KEYPOINT","FUND_CODE","METHOD_COD","EQUIPMENT_","COST_PER_U","NEPA_PROJE","NEPA_DOC_N","IMPLEMENTA","IMPLEMEN_1","IMPLEMEN_2","ACCOMPLISH","ACCOMPLI_1","ACTIVITY_1","ACTIVITY_U","FACTS_ID","SUBUNIT","FEATURE_TY","TREATMENT_","ACTIVITY_2","ACTIVITY_S","WORKFORCE_","NEPA_PRO_1","SUID_CN","ISWUI","CWPP","CAT_NM","EQUIPMENT","METHOD","TREATMENT1","STAGE","STAGE_VALU","REV_DATE","DATA_SOURC","DATA_SOU_1","ACCURACY","FS_UNIT_ID","FS_UNIT_NA","CRC_VALUE","ETL_MODIFI","UK","EDW_INSERT","UK_HAZ","CRC_HAZ","ETL_MODI_1","GIS_ACRES","SHAPE_AREA","SHAPE_LEN"
7,251978,"081105RXBFY13053000","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",417,"ACRES","08","11","05","NC","FS","08","21","640","5",0,0,NA,"NP-4A",NA,417,417,"ACRES","2012/10/30","2013/03/15","2013/03/15",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"14564","(PALS)GRANDFATHER RANGER DISTRICT  ROTATIONAL PRESCRIBED BURNING","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969869010602","4085665010602","RXBFY13053","000","A","Broadcast Burn","RX BURN ADAMS MTN FY13","RX BURN ADAMS MTN FY13","FA","10188","897678010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/09/18","24","Other",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","6F7ECD1ADAD1EA72","N","0811_14405_ACTP","2017/01/14","3969869010602_081105RXBFY13053000","293DE8F52EB30629","2017/02/24",414.82,0.000167667782726,0.0860793641573
44,251975,"081105RXBFY12051000","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",1240,"ACRES","08","11","05","NC","FS","08","21","640","5",0,0,NA,"NP-4A",NA,1240,1240,"ACRES","2014/10/30","2015/03/18","2015/03/18",2015,2015,2015,2015,"3","WFHF","300","214",55,"14564","(PALS)GRANDFATHER RANGER DISTRICT  ROTATIONAL PRESCRIBED BURNING","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"4680633010602","3515166010602","RXBFY12051","000","A","Broadcast Burn","RX BURN WILSON CREEK FY12","RX BURN WILSON CREEK FY12","FA","10188","832531010602","Y","CWPP","Fire","Helicopter (non-harvest)","Prescribed Burn",NA,3,"Accomplished","2013/09/18","07","Digitized From Hardcopy PBS/SEQ",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","1A3DC4A38007DE9C","N","0811_14101_ACTP","2017/01/14","4680633010602_081105RXBFY12051000","C1C3FA76E2B9C87A","2017/02/24",1168.69,0.000472945567698,0.13528040338
44,251976,"081105RXBFY12051000","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",1240,"ACRES","08","11","05","NC","FS","08","21","640","5",0,0,NA,"NP-4A",NA,1240,1240,"ACRES","2011/10/30","2011/11/09","2011/11/09",2012,2012,2012,2012,"3","WFHF","300","214",55,"14564","(PALS)GRANDFATHER RANGER DISTRICT  ROTATIONAL PRESCRIBED BURNING","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3509439010602","3515166010602","RXBFY12051","000","A","Broadcast Burn","RX BURN WILSON CREEK FY12","RX BURN WILSON CREEK FY12","FA","10188","832531010602","Y","CWPP","Fire","Helicopter (non-harvest)","Prescribed Burn",NA,3,"Accomplished","2013/09/18","07","Digitized From Hardcopy PBS/SEQ",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","1A3DC4A38007DE9C","N","0811_14101_ACTP","2017/01/14","3509439010602_081105RXBFY12051000","C1C3FA76EC72FA73","2017/02/24",1168.69,0.000472945567698,0.13528040338
59,251976,"081105RXBFY12051000","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",1240,"ACRES","08","11","05","NC","FS","08","21","640","5",0,0,NA,"NP-4A",NA,1240,1240,"ACRES","2011/10/30","2011/11/09","2011/11/09",2012,2012,2012,2012,"3","WFHF","300","214",55,"14564","(PALS)GRANDFATHER RANGER DISTRICT  ROTATIONAL PRESCRIBED BURNING","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3509439010602","3515166010602","RXBFY12051","000","A","Broadcast Burn","RX BURN WILSON CREEK FY12","RX BURN WILSON CREEK FY12","FA","10188","832531010602","Y","CWPP","Fire","Helicopter (non-harvest)","Prescribed Burn",NA,3,"Accomplished","2013/09/18","07","Digitized From Hardcopy PBS/SEQ",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","1A3DC4A38007DE9C","N","0811_14101_ACTP","2017/01/14","3509439010602_081105RXBFY12051000","C1C3FA76EC72FA73","2017/02/24",1168.69,0.000472945567698,0.13528040338
59,251975,"081105RXBFY12051000","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",1240,"ACRES","08","11","05","NC","FS","08","21","640","5",0,0,NA,"NP-4A",NA,1240,1240,"ACRES","2014/10/30","2015/03/18","2015/03/18",2015,2015,2015,2015,"3","WFHF","300","214",55,"14564","(PALS)GRANDFATHER RANGER DISTRICT  ROTATIONAL PRESCRIBED BURNING","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"4680633010602","3515166010602","RXBFY12051","000","A","Broadcast Burn","RX BURN WILSON CREEK FY12","RX BURN WILSON CREEK FY12","FA","10188","832531010602","Y","CWPP","Fire","Helicopter (non-harvest)","Prescribed Burn",NA,3,"Accomplished","2013/09/18","07","Digitized From Hardcopy PBS/SEQ",0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","1A3DC4A38007DE9C","N","0811_14101_ACTP","2017/01/14","4680633010602_081105RXBFY12051000","C1C3FA76E2B9C87A","2017/02/24",1168.69,0.000472945567698,0.13528040338
279,246803,"081105RXBFY10051002","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",3537,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,3537,3700,"ACRES","2012/10/30","2013/03/08","2013/03/08",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"36286","(PALS)LOST BEAR WEST PRESCRIBED BURN","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969622010602","2514442010602","RXBFY10051","002","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR WEST FY13","FA","36078","897890010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/08/27",NA,NA,0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","54250EEE6F4A0ABD","N","0811_9575_ACTP","2017/01/14","3969622010602_081105RXBFY10051002","E5ABEB60AB1B9805","2017/02/24",3538.181,0.00142592600033,0.182525846462
283,246803,"081105RXBFY10051002","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",3537,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,3537,3700,"ACRES","2012/10/30","2013/03/08","2013/03/08",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"36286","(PALS)LOST BEAR WEST PRESCRIBED BURN","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969622010602","2514442010602","RXBFY10051","002","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR WEST FY13","FA","36078","897890010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/08/27",NA,NA,0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","54250EEE6F4A0ABD","N","0811_9575_ACTP","2017/01/14","3969622010602_081105RXBFY10051002","E5ABEB60AB1B9805","2017/02/24",3538.181,0.00142592600033,0.182525846462
284,246803,"081105RXBFY10051002","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",3537,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,3537,3700,"ACRES","2012/10/30","2013/03/08","2013/03/08",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"36286","(PALS)LOST BEAR WEST PRESCRIBED BURN","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969622010602","2514442010602","RXBFY10051","002","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR WEST FY13","FA","36078","897890010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/08/27",NA,NA,0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","54250EEE6F4A0ABD","N","0811_9575_ACTP","2017/01/14","3969622010602_081105RXBFY10051002","E5ABEB60AB1B9805","2017/02/24",3538.181,0.00142592600033,0.182525846462
285,246803,"081105RXBFY10051002","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",3537,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,3537,3700,"ACRES","2012/10/30","2013/03/08","2013/03/08",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"36286","(PALS)LOST BEAR WEST PRESCRIBED BURN","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969622010602","2514442010602","RXBFY10051","002","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR WEST FY13","FA","36078","897890010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/08/27",NA,NA,0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","54250EEE6F4A0ABD","N","0811_9575_ACTP","2017/01/14","3969622010602_081105RXBFY10051002","E5ABEB60AB1B9805","2017/02/24",3538.181,0.00142592600033,0.182525846462
376,246803,"081105RXBFY10051002","081105","1111","Broadcast Burning - Covers a majority of the unit","N/A",3537,"ACRES","08","11","05","NC","FS","08","21",NA,NA,0,0,NA,NA,NA,3537,3700,"ACRES","2012/10/30","2013/03/08","2013/03/08",2013,2013,2013,2013,"3","WFHF","300","310",12.02,"36286","(PALS)LOST BEAR WEST PRESCRIBED BURN","GRANDFATHER RESTORATION PROJECT","CFLR019","CFLRP",NA,NA,"3969622010602","2514442010602","RXBFY10051","002","A","Broadcast Burn","RX BURN BIG LOST BEAR FY10","RX BURN LOST BEAR WEST FY13","FA","36078","897890010602","Y","CWPP Equivalent","Fire","Aerial Ignition Device","Prescribed Burn",NA,3,"Accomplished","2013/08/27",NA,NA,0,"0811","NATIONAL FORESTS IN NORTH CAROLINA","54250EEE6F4A0ABD","N","0811_9575_ACTP","2017/01/14","3969622010602_081105RXBFY10051002","E5ABEB60AB1B9805","2017/02/24",3538.181,0.00142592600033,0.182525846462
